Year,Month,Category,Forecast_Demand
2025,4,Hair Mask,4791
2025,5,Hair Mask,4829
2025,6,Hair Mask,4867
2025,7,Hair Mask,4906
2025,8,Hair Mask,4945
2025,9,Hair Mask,4985
2025,10,Hair Mask,5024
2025,11,Hair Mask,5064
2025,12,Hair Mask,5105
2025,1,Hair Serum,5633
2025,2,Hair Serum,5677
2025,3,Hair Serum,5723
2025,4,Hair Serum,5768
2025,5,Hair Serum,5814
2025,6,Hair Serum,5861
2025,7,Hair Serum,5907
2025,8,Hair Serum,5955
2025,9,Hair Serum,6002
2025,10,Hair Serum,6050
2025,11,Hair Serum,6098
2025,12,Hair Serum,6147
2025,1,Hair Treatment,5015
2025,2,Hair Treatment,5055
2025,3,Hair Treatment,5095
2025,4,Hair Treatment,5135
2025,5,Hair Treatment,5176
2025,6,Hair Treatment,5218
2025,7,Hair Treatment,5259
2025,8,Hair Treatment,5301
2025,9,Hair Treatment,5343
2025,10,Hair Treatment,5386
2025,11,Hair Treatment,5429
2025,12,Hair Treatment,5472
2025,1,Immunity Boost,1619
2025,2,Immunity Boost,1632
2025,3,Immunity Boost,1645
2025,4,Immunity Boost,1658
2025,5,Immunity Boost,1672
2025,6,Immunity Boost,1685
2025,7,Immunity Boost,1698
2025,8,Immunity Boost,1712
2025,9,Immunity Boost,1725
2025,10,Immunity Boost,1739
2025,11,Immunity Boost,1753
2025,12,Immunity Boost,1767
2025,1,Leave in,5209
2025,2,Leave in,5250
2025,3,Leave in,5292
2025,4,Leave in,5335
2025,5,Leave in,5377
2025,6,Leave in,5420
2025,7,Leave in,5463
2025,8,Leave in,5507
2025,9,Leave in,5551
2025,10,Leave in,5595
2025,11,Leave in,5639
2025,12,Leave in,5684
2025,1,Makeup Remover,5364
2025,2,Makeup Remover,5406
2025,3,Makeup Remover,5449
2025,4,Makeup Remover,5493
2025,5,Makeup Remover,5537
2025,6,Makeup Remover,5581
2025,7,Makeup Remover,5625
2025,8,Makeup Remover,5670
2025,9,Makeup Remover,5715
2025,10,Makeup Remover,5761
2025,11,Makeup Remover,5807
2025,12,Makeup Remover,5853
2025,1,Oil,5507
2025,2,Oil,5551
2025,3,Oil,5595
2025,4,Oil,5640
2025,5,Oil,5685
2025,6,Oil,5730
2025,7,Oil,5776
2025,8,Oil,5822
2025,9,Oil,5868
2025,10,Oil,5915
2025,11,Oil,5962
2025,12,Oil,6010
2025,1,Roll-on,5356
2025,2,Roll-on,5399
2025,3,Roll-on,5442
2025,4,Roll-on,5485
2025,5,Roll-on,5529
2025,6,Roll-on,5573
2025,7,Roll-on,5617
2025,8,Roll-on,5662
2025,9,Roll-on,5707
2025,10,Roll-on,5753
2025,11,Roll-on,5799
2025,12,Roll-on,5845
2025,1,Shampoo,5221
2025,2,Shampoo,5263
2025,3,Shampoo,5305
2025,4,Shampoo,5347
2025,5,Shampoo,5390
2025,6,Shampoo,5433
2025,7,Shampoo,5476
2025,8,Shampoo,5520
2025,9,Shampoo,5564
2025,10,Shampoo,5608
2025,11,Shampoo,5653
2025,12,Shampoo,5698
2025,1,Shower Gel,4942
2025,2,Shower Gel,4981
2025,3,Shower Gel,5021
2025,4,Shower Gel,5061
2025,5,Shower Gel,5101
2025,6,Shower Gel,5142
2025,7,Shower Gel,5183
2025,8,Shower Gel,5224
2025,9,Shower Gel,5266
2025,10,Shower Gel,5308
2025,11,Shower Gel,5350
2025,12,Shower Gel,5393
2026,1,Body Cream,5401
2026,2,Body Cream,5444
2026,3,Body Cream,5488
2026,4,Body Cream,5531
2026,5,Body Cream,5575
2026,6,Body Cream,5620
2026,7,Body Cream,5665
2026,8,Body Cream,5710
2026,9,Body Cream,5755
2026,10,Body Cream,5801
2026,11,Body Cream,5847
2026,12,Body Cream,5894
2026,1,Body Lotion,5820
2026,2,Body Lotion,5867
2026,3,Body Lotion,5913
2026,4,Body Lotion,5961
2026,5,Body Lotion,6008
2026,6,Body Lotion,6056
2026,7,Body Lotion,6104
2026,8,Body Lotion,6153
2026,9,Body Lotion,6202
2026,10,Body Lotion,6251
2026,11,Body Lotion,6301
2026,12,Body Lotion,6352
2026,1,Body Soap,5588
2026,2,Body Soap,5633
2026,3,Body Soap,5678
2026,4,Body Soap,5723
2026,5,Body Soap,5769
2026,6,Body Soap,5815
2026,7,Body Soap,5861
2026,8,Body Soap,5908
2026,9,Body Soap,5955
2026,10,Body Soap,6002
2026,11,Body Soap,6050
2026,12,Body Soap,6098
2026,1,Body Splash,5473
2026,2,Body Splash,5516
2026,3,Body Splash,5560
2026,4,Body Splash,5605
2026,5,Body Splash,5649
2026,6,Body Splash,5694
2026,7,Body Splash,5740
2026,8,Body Splash,5785
2026,9,Body Splash,5832
2026,10,Body Splash,5878
2026,11,Body Splash,5925
2026,12,Body Splash,5972
2026,1,Conditioner,5577
2026,2,Conditioner,5622
2026,3,Conditioner,5666
2026,4,Conditioner,5712
2026,5,Conditioner,5757
2026,6,Conditioner,5803
2026,7,Conditioner,5849
2026,8,Conditioner,5896
2026,9,Conditioner,5943
2026,10,Conditioner,5990
2026,11,Conditioner,6038
2026,12,Conditioner,6086
2026,1,Eye Cream,7023
2026,2,Eye Cream,7079
2026,3,Eye Cream,7135
2026,4,Eye Cream,7192
2026,5,Eye Cream,7250
2026,6,Eye Cream,7307
2026,7,Eye Cream,7366
2026,8,Eye Cream,7424
2026,9,Eye Cream,7484
2026,10,Eye Cream,7543
2026,11,Eye Cream,7603
2026,12,Eye Cream,7664
2026,1,Face Cream,6152
2026,2,Face Cream,6201
2026,3,Face Cream,6250
2026,4,Face Cream,6300
2026,5,Face Cream,6351
2026,6,Face Cream,6401
2026,7,Face Cream,6452
2026,8,Face Cream,6504
2026,9,Face Cream,6556
2026,10,Face Cream,6608
2026,11,Face Cream,6660
2026,12,Face Cream,6714
2026,1,Face Serum,5732
2026,2,Face Serum,5778
2026,3,Face Serum,5824
2026,4,Face Serum,5871
2026,5,Face Serum,5917
2026,6,Face Serum,5965
2026,7,Face Serum,6012
2026,8,Face Serum,6060
2026,9,Face Serum,6108
2026,10,Face Serum,6157
2026,11,Face Serum,6206
2026,12,Face Serum,6256
2026,1,Facial Cleanser,5624
2026,2,Facial Cleanser,5669
2026,3,Facial Cleanser,5714
2026,4,Facial Cleanser,5759
2026,5,Facial Cleanser,5805
2026,6,Facial Cleanser,5852
2026,7,Facial Cleanser,5898
2026,8,Facial Cleanser,5945
2026,9,Facial Cleanser,5993
2026,10,Facial Cleanser,6041
2026,11,Facial Cleanser,6089
2026,12,Facial Cleanser,6137
2026,1,Hair Mask,5146
2026,2,Hair Mask,5187
2026,3,Hair Mask,5228
2026,4,Hair Mask,5270
2026,5,Hair Mask,5312
2026,6,Hair Mask,5354
2026,7,Hair Mask,5397
2026,8,Hair Mask,5440
2026,9,Hair Mask,5483
2026,10,Hair Mask,5527
2026,11,Hair Mask,5571
2026,12,Hair Mask,5615
2026,1,Hair Serum,6196
2026,2,Hair Serum,6245
2026,3,Hair Serum,6295
2026,4,Hair Serum,6345
2026,5,Hair Serum,6396
2026,6,Hair Serum,6447
2026,7,Hair Serum,6498
2026,8,Hair Serum,6550
2026,9,Hair Serum,6602
2026,10,Hair Serum,6655
2026,11,Hair Serum,6708
2026,12,Hair Serum,6761
2026,1,Hair Treatment,5516
2026,2,Hair Treatment,5560
2026,3,Hair Treatment,5604
2026,4,Hair Treatment,5649
2026,5,Hair Treatment,5694
2026,6,Hair Treatment,5739
2026,7,Hair Treatment,5785
2026,8,Hair Treatment,5831
2026,9,Hair Treatment,5878
2026,10,Hair Treatment,5925
2026,11,Hair Treatment,5972
2026,12,Hair Treatment,6020
2026,1,Immunity Boost,1781
2026,2,Immunity Boost,1795
2026,3,Immunity Boost,1810
2026,4,Immunity Boost,1824
2026,5,Immunity Boost,1839
2026,6,Immunity Boost,1853
2026,7,Immunity Boost,1868
2026,8,Immunity Boost,1883
2026,9,Immunity Boost,1898
2026,10,Immunity Boost,1913
2026,11,Immunity Boost,1928
2026,12,Immunity Boost,1944
2026,1,Leave in,5730
2026,2,Leave in,5775
2026,3,Leave in,5822
2026,4,Leave in,5868
2026,5,Leave in,5915
2026,6,Leave in,5962
2026,7,Leave in,6009
2026,8,Leave in,6057
2026,9,Leave in,6106
2026,10,Leave in,6154
2026,11,Leave in,6203
2026,12,Leave in,6253
2026,1,Makeup Remover,5900
2026,2,Makeup Remover,5947
2026,3,Makeup Remover,5994
2026,4,Makeup Remover,6042
2026,5,Makeup Remover,6090
2026,6,Makeup Remover,6139
2026,7,Makeup Remover,6188
2026,8,Makeup Remover,6237
2026,9,Makeup Remover,6287
2026,10,Makeup Remover,6337
2026,11,Makeup Remover,6388
2026,12,Makeup Remover,6439
2026,1,Oil,6058
2026,2,Oil,6106
2026,3,Oil,6155
2026,4,Oil,6204
2026,5,Oil,6253
2026,6,Oil,6303
2026,7,Oil,6353
2026,8,Oil,6404
2026,9,Oil,6455
2026,10,Oil,6506
2026,11,Oil,6558
2026,12,Oil,6611
2026,1,Roll-on,5891
2026,2,Roll-on,5938
2026,3,Roll-on,5986
2026,4,Roll-on,6033
2026,5,Roll-on,6082
2026,6,Roll-on,6130
2026,7,Roll-on,6179
2026,8,Roll-on,6228
2026,9,Roll-on,6278
2026,10,Roll-on,6328
2026,11,Roll-on,6378
2026,12,Roll-on,6429
2026,1,Shampoo,5743
2026,2,Shampoo,5789
2026,3,Shampoo,5835
2026,4,Shampoo,5882
2026,5,Shampoo,5929
2026,6,Shampoo,5976
2026,7,Shampoo,6024
2026,8,Shampoo,6072
2026,9,Shampoo,6120
2026,10,Shampoo,6169
2026,11,Shampoo,6218
2026,12,Shampoo,6268
2026,1,Shower Gel,5436
2026,2,Shower Gel,5479
2026,3,Shower Gel,5523
2026,4,Shower Gel,5567
2026,5,Shower Gel,5611
2026,6,Shower Gel,5656
2026,7,Shower Gel,5701
2026,8,Shower Gel,5746
2026,9,Shower Gel,5792
2026,10,Shower Gel,5838
2026,11,Shower Gel,5885
2026,12,Shower Gel,5932
