Category,Date,Sales
Shampoo,1/1/2023,701
Conditioner,1/1/2023,631
Hair Mask,1/1/2023,540
Leave in,1/1/2023,708
Hair Treatment,1/1/2023,729
Oil,1/1/2023,689
Shower Gel,1/1/2023,628
Body Lotion,1/1/2023,621
Body Splash,1/1/2023,638
Roll-on,1/1/2023,702
Body Cream,1/1/2023,703
Body Soap,1/1/2023,642
Face Serum,1/1/2023,639
Face Cream,1/1/2023,628
Facial Cleanser,1/1/2023,649
Makeup Remover,1/1/2023,637
Eye Cream,1/1/2023,720
Immunity Boost,1/1/2023,580
Hair Serum,2/1/2023,899
Shampoo,2/1/2023,754
Conditioner,2/1/2023,741
Hair Mask,2/1/2023,645
Leave in,2/1/2023,779
Hair Treatment,2/1/2023,764
Oil,2/1/2023,829
Shower Gel,2/1/2023,763
Body Lotion,2/1/2023,764
Body Splash,2/1/2023,738
Roll-on,2/1/2023,742
Body Cream,2/1/2023,763
Body Soap,2/1/2023,723
Face Serum,2/1/2023,820
Face Cream,2/1/2023,799
Facial Cleanser,2/1/2023,710
Makeup Remover,2/1/2023,821
Eye Cream,2/1/2023,720
Immunity Boost,2/1/2023,600
Hair Serum,3/1/2023,956
Shampoo,3/1/2023,832
Conditioner,3/1/2023,786
Hair Mask,3/1/2023,699
Leave in,3/1/2023,900
Hair Treatment,3/1/2023,772
Oil,3/1/2023,751
Shower Gel,3/1/2023,847
Body Lotion,3/1/2023,857
Body Splash,3/1/2023,801
Roll-on,3/1/2023,821
Body Cream,3/1/2023,838
Body Soap,3/1/2023,802
Face Serum,3/1/2023,788
Face Cream,3/1/2023,869
Facial Cleanser,3/1/2023,837
Makeup Remover,3/1/2023,915
Eye Cream,3/1/2023,887
Immunity Boost,3/1/2023,620
Hair Serum,4/1/2023,1320
Shampoo,4/1/2023,891
Conditioner,4/1/2023,796
Hair Mask,4/1/2023,765
Leave in,4/1/2023,810
Hair Treatment,4/1/2023,912
Oil,4/1/2023,777
Shower Gel,4/1/2023,775
Body Lotion,4/1/2023,990
Body Splash,4/1/2023,938
Roll-on,4/1/2023,961
Body Cream,4/1/2023,926
Body Soap,4/1/2023,895
Face Serum,4/1/2023,796
Face Cream,4/1/2023,729
Facial Cleanser,4/1/2023,922
Makeup Remover,4/1/2023,980
Eye Cream,4/1/2023,877
Immunity Boost,4/1/2023,650
Hair Serum,5/1/2023,1487
Shampoo,5/1/2023,1054
Conditioner,5/1/2023,869
Hair Mask,5/1/2023,797
Leave in,5/1/2023,1081
Hair Treatment,5/1/2023,1017
Oil,5/1/2023,884
Shower Gel,5/1/2023,818
Body Lotion,5/1/2023,1057
Body Splash,5/1/2023,996
Roll-on,5/1/2023,948
Body Cream,5/1/2023,980
Body Soap,5/1/2023,951
Face Serum,5/1/2023,894
Face Cream,5/1/2023,1186
Facial Cleanser,5/1/2023,880
Makeup Remover,5/1/2023,1018
Eye Cream,5/1/2023,1077
Immunity Boost,5/1/2023,700
Hair Serum,6/1/2023,1621
Shampoo,6/1/2023,2000
Conditioner,6/1/2023,1080
Hair Mask,6/1/2023,945
Leave in,6/1/2023,1844
Hair Treatment,6/1/2023,1956
Oil,6/1/2023,1141
Shower Gel,6/1/2023,1036
Body Lotion,6/1/2023,1941
Body Splash,6/1/2023,1886
Roll-on,6/1/2023,1943
Body Cream,6/1/2023,1781
Body Soap,6/1/2023,1866
Face Serum,6/1/2023,1107
Face Cream,6/1/2023,1826
Facial Cleanser,6/1/2023,1861
Makeup Remover,6/1/2023,1908
Eye Cream,6/1/2023,1839
Immunity Boost,6/1/2023,750
Hair Serum,7/1/2023,1687
Shampoo,7/1/2023,2145
Conditioner,7/1/2023,1725
Hair Mask,7/1/2023,1500
Leave in,7/1/2023,2210
Hair Treatment,7/1/2023,2091
Oil,7/1/2023,1769
Shower Gel,7/1/2023,1714
Body Lotion,7/1/2023,2129
Body Splash,7/1/2023,2068
Roll-on,7/1/2023,2032
Body Cream,7/1/2023,1972
Body Soap,7/1/2023,1964
Face Serum,7/1/2023,1777
Face Cream,7/1/2023,2287
Facial Cleanser,7/1/2023,1964
Makeup Remover,7/1/2023,2107
Eye Cream,7/1/2023,2276
Immunity Boost,7/1/2023,800
Hair Serum,8/1/2023,2021
Shampoo,8/1/2023,2360
Conditioner,8/1/2023,1999
Hair Mask,8/1/2023,1690
Leave in,8/1/2023,2244
Hair Treatment,8/1/2023,2274
Oil,8/1/2023,2107
Shower Gel,8/1/2023,1928
Body Lotion,8/1/2023,2351
Body Splash,8/1/2023,2265
Roll-on,8/1/2023,2219
Body Cream,8/1/2023,2239
Body Soap,8/1/2023,2255
Face Serum,8/1/2023,2042
Face Cream,8/1/2023,2180
Facial Cleanser,8/1/2023,2161
Makeup Remover,8/1/2023,2243
Eye Cream,8/1/2023,2237
Immunity Boost,8/1/2023,850
Hair Serum,9/1/2023,2540
Shampoo,9/1/2023,2498
Conditioner,9/1/2023,2120
Hair Mask,9/1/2023,1913
Leave in,9/1/2023,2392
Hair Treatment,9/1/2023,2428
Oil,9/1/2023,2188
Shower Gel,9/1/2023,2022
Body Lotion,9/1/2023,2501
Body Splash,9/1/2023,2420
Roll-on,9/1/2023,2418
Body Cream,9/1/2023,2305
Body Soap,9/1/2023,2444
Face Serum,9/1/2023,2111
Face Cream,9/1/2023,2403
Facial Cleanser,9/1/2023,2390
Makeup Remover,9/1/2023,2512
Eye Cream,9/1/2023,2463
Immunity Boost,9/1/2023,950
Hair Serum,10/1/2023,2613
Shampoo,10/1/2023,2531
Conditioner,10/1/2023,2365
Hair Mask,10/1/2023,1958
Leave in,10/1/2023,2534
Hair Treatment,10/1/2023,2355
Oil,10/1/2023,2401
Shower Gel,10/1/2023,2206
Body Lotion,10/1/2023,2499
Body Splash,10/1/2023,2447
Roll-on,10/1/2023,2414
Body Cream,10/1/2023,2343
Body Soap,10/1/2023,2465
Face Serum,10/1/2023,2342
Face Cream,10/1/2023,2448
Facial Cleanser,10/1/2023,2271
Makeup Remover,10/1/2023,2432
Eye Cream,10/1/2023,2652
Immunity Boost,10/1/2023,1050
Hair Serum,11/1/2023,3145
Shampoo,11/1/2023,2845
Conditioner,11/1/2023,2650
Hair Mask,11/1/2023,2300
Leave in,11/1/2023,2843
Hair Treatment,11/1/2023,2701
Oil,11/1/2023,2729
Shower Gel,11/1/2023,2547
Body Lotion,11/1/2023,2883
Body Splash,11/1/2023,2791
Roll-on,11/1/2023,2800
Body Cream,11/1/2023,2690
Body Soap,11/1/2023,2759
Face Serum,11/1/2023,2657
Face Cream,11/1/2023,2794
